date,equity
2025-06-16,100000.0
2025-06-17,99905.28754543644
2025-06-18,99654.60257852463
2025-06-20,99346.64931009278
2025-06-23,99815.44715676413
2025-06-24,100838.73433998835
2025-06-25,100556.62976640835
2025-06-26,101201.6799982336
2025-06-27,101572.68087371603
2025-06-30,101694.27929360603
2025-07-01,100812.70477118387
2025-07-02,101140.86261639278
2025-07-03,102483.49884807263
2025-07-07,102433.34840744387
2025-07-08,101997.68213248067
2025-07-09,102238.12469492258
2025-07-10,100531.26351741033
2025-07-11,99801.82615162054
2025-07-14,100410.51427178859
2025-07-15,100301.81779915447
2025-07-16,100710.78686031276
2025-07-17,100991.38273544409
2025-07-18,101629.22435999333
2025-07-21,101735.8165759173
2025-07-22,101247.46470075674
2025-07-23,101286.91092156718
2025-07-24,101760.45990133191
2025-07-25,102173.77986212845
2025-07-28,102654.03784268789
2025-07-29,102269.05547790606
2025-07-30,101983.70350875988
2025-07-31,102404.78679608181
2025-08-01,100582.79706658394
2025-08-04,101629.54011340727
2025-08-05,101496.68181147677
2025-08-06,103272.84450181886
2025-08-07,102488.75024273025
2025-08-08,102029.61468690747
2025-08-11,101649.1480379762
2025-08-12,102045.41840499775
2025-08-13,101865.41190028889
2025-08-14,101597.4289107077
2025-08-15,101896.45240365426
2025-08-18,101925.64428822842
2025-08-19,101097.74995404104
2025-08-20,100537.27401208851
2025-08-21,100296.73893264716
2025-08-22,100890.83561660175
2025-08-25,100584.5476796742
2025-08-26,100715.9124750619
2025-08-27,101127.0671531143
2025-08-28,101599.79661557305
2025-08-29,100839.48427177657
2025-09-02,100214.12103581405
2025-09-03,100251.91592822058
2025-09-04,100498.1747397779
2025-09-05,100989.2677863329
2025-09-08,101206.1912194605
2025-09-09,101205.1074543971
2025-09-10,102360.61049449071
2025-09-11,102423.98224070916
2025-09-12,101771.16548152489
2025-09-15,102616.04839440988
2025-09-16,102345.06348446078
2025-09-17,102279.20499213354
2025-09-18,103170.41909671927
2025-09-19,104079.39900255081
2025-09-22,104870.86139483092
2025-09-23,103601.12905361172
2025-09-24,103137.94092421554
2025-09-25,102476.08602041678
2025-09-26,102516.20857934895
2025-09-29,103175.74193364361
2025-09-30,102498.55071119049
2025-10-01,102569.23421279874
2025-10-02,103394.33227633857
2025-10-03,103171.29863697138
2025-10-06,103866.80761124687
2025-10-07,103027.12124223221
2025-10-08,104252.28496579367
2025-10-09,104272.11168268803
2025-10-10,101923.43917149704
2025-10-13,103293.49074030812
2025-10-14,102715.91458992586
2025-10-15,102787.73526909052
2025-10-16,102703.31663963833
