ticker,entry_date,entry_price,shares,entry_score,stop_price,exit_date,exit_price,exit_reason,exit_score,pnl,return_pct,holding_days
CBOE,2025-06-13,228.05397,21.924634769567923,2,218.82986269656482,2025-10-15,238.93047500000003,signal,-2.0,238.46339969438017,4.769267993887594,124
SHOP,2025-06-13,105.582765,47.356213866912846,2,96.33375531716393,2026-01-15,159.570175,signal,-2.0,2556.63933408071,51.132786681614185,216
TSLA,2025-06-13,314.157,15.91560907444367,2,276.10954033118077,2025-07-07,291.21432000000004,signal,-2.0,-365.14672600005633,-7.302934520001125,24
MSTR,2025-06-16,387.803805,12.936139676513706,2,354.0568831932338,2025-08-19,353.8798547516372,stop_loss,,-438.8449587919232,-8.747709488916133,64
CMG,2025-06-17,52.276125,95.68580789259201,2,49.42783269571836,2025-07-22,52.643665000000006,signal,-2.0,35.16836183284377,0.703074300170492,35
DT,2025-06-18,56.00798999999999,89.0641451696583,2,53.440856738629336,2025-07-10,53.41413631026003,stop_loss,,-231.01936157185415,-4.631220812851822,22
MELI,2025-06-20,2430.764775,2.05926148592744,2,2295.269953674195,2025-08-06,2294.1223186973584,stop_loss,,-281.38254760655315,-5.621377177585673,47
ORCL,2025-06-20,213.456675,23.45009956941651,2,200.06556925393548,2025-11-21,199.96553646930852,stop_loss,,-316.3685418495066,-6.320317006105092,154
SOFI,2025-06-20,15.577784999999999,321.32811452376444,2,14.22805506211113,2025-11-17,27.696145,signal,-2.0,3893.969769920207,77.79257448989058,150
CME,2025-06-23,274.39713,18.108735572104518,2,263.3626276846938,2025-07-29,274.50268,signal,-2.0,1.9113770396355199,0.038466145764703974,36
MSFT,2025-06-24,489.19447499999995,10.325165513135772,2,474.73356385961404,2025-11-19,489.85495000000003,signal,-2.0,6.819513692289137,0.13501276767282633,148
NFLX,2025-06-24,126.01797749999999,40.081693284488395,2,120.79652687930263,2025-07-18,120.73612861586298,stop_loss,,-211.70544694899672,-4.191345543644365,24
SPGI,2025-06-24,490.24499999999995,10.303040158464766,2,473.8244308465406,2025-09-23,473.5875186311174,stop_loss,,-171.62269948247547,-3.3977871000994475,91
ABT,2025-06-25,137.938935,36.82563446172064,2,132.9438880115377,2025-06-26,132.87741606753193,stop_loss,,-186.39364602814732,-3.669391047906856,1
CRM,2025-06-25,272.13599999999997,18.66599346778465,2,258.18971216532213,2025-07-08,270.65460500000006,signal,-2.0,-27.6517093932071,-0.5443583355380754,13
KD,2025-06-25,41.460719999999995,122.51810384260193,2,39.023098337904386,2025-07-16,39.00358678873543,stop_loss,,-301.04330193281754,-5.92641230365648,21
MCO,2025-06-25,489.094425,10.385906153702411,2,471.4184320938718,2025-09-19,484.73751000000004,signal,-2.0,-45.250510309657905,-0.8908126482938261,86
NET,2025-06-25,187.76383499999997,27.053605921231014,2,175.28155152781738,2026-01-12,180.9095,signal,-2.0,-185.4344779421,-3.650508629630389,201
P,2025-06-25,55.12755,92.14428717309299,2,51.514930488800395,2025-08-04,55.19239,signal,-2.0,5.974635580303699,0.11761814192723374,40
SE,2025-06-25,158.349135,27.57217038923881,2,148.38618459511386,2025-07-02,148.3119915028163,stop_loss,,-276.7458307255887,-6.33861593066718,7
AMZN,2025-06-27,220.099995,22.2276996923446,2,209.69600640960124,2025-08-04,217.33128000000002,signal,-2.0,-61.54216555368957,-1.2579350581084725,38
ABNB,2025-07-03,136.338135,29.98768998534699,2,129.35770663868115,2025-07-31,134.682625,signal,-2.0,-49.64492064764157,-1.214267746878006,28
NOW,2025-07-07,208.75032299999998,22.19841545362754,2,199.2344469170963,2025-07-10,199.13482969363778,stop_loss,,-213.44871520620276,-4.606217211152385,3
INTU,2025-07-08,784.962285,6.434738176712125,2,758.7454414810104,2025-07-10,758.36606876027,stop_loss,,-171.13968799388152,-3.3882158095952297,2
ARKG,2025-07-14,25.132559999999998,203.46369264739803,2,23.448751722853277,2025-08-01,23.238375,signal,-2.0,-385.397874657311,-7.536776993668759,18
AAL,2025-07-15,12.456224999999998,412.8805225788268,2,11.450878711346425,2025-07-24,11.445153271990753,stop_loss,,-417.4518234251346,-8.116999556520899,9
SE,2025-07-16,158.57925,23.95232520333157,2,147.30634692215625,2025-08-06,147.23269374869517,stop_loss,,-271.7764052691481,-7.155133002145508,21
AFRM,2025-07-18,69.424695,68.81830540098585,2,63.471912837513244,2025-08-01,63.440176881094494,stop_loss,,-411.8443955845724,-8.620157595082711,14
TSLA,2025-07-21,334.577205,14.461059027075517,2,307.2928436919545,2025-07-24,307.1391972701085,stop_loss,,-396.78264936731483,-8.200800090338333,3
INTU,2025-07-22,767.833725,6.559029777395801,2,742.1209969269919,2025-08-11,741.7499364285285,stop_loss,,-171.08434594757767,-3.3970621141278357,20
DT,2025-07-25,54.357164999999995,94.28403474767035,2,51.69008013671896,2025-08-01,51.7741,signal,-2.0,-243.5417902154909,-4.752023031370378,7
