ticker,entry_date,entry_price,shares,entry_score,stop_price,exit_date,exit_price,exit_reason,exit_score,pnl,return_pct,holding_days
ABNB,2025-06-17,136.158045,36.72203137170485,2,128.48865037447342,2025-06-23,128.4244060492862,stop_loss,,-283.9949321655501,-5.679898643310999,6
NOW,2025-06-17,200.870385,24.891673304653644,2,192.23034047067316,2025-06-23,192.13422530043783,stop_loss,,-217.45763317878254,-4.349152663575651,6
MSFT,2025-06-23,478.449105,10.415428915819069,2,463.7758160795844,2026-01-05,474.00288000000006,signal,-2.0,-46.309340431236734,-0.929299470630196,196
NOW,2025-06-24,198.099,25.14032644790556,2,189.33606685229842,2025-07-11,191.904,signal,-2.0,-155.7443223447748,-3.127224266654549,17
ABNB,2025-06-25,132.8664,37.50997231668399,2,125.70188127510926,2025-08-01,129.935,signal,-2.0,-109.95673284912732,-2.2062763798823437,37
ORCL,2025-06-30,226.61325,22.05729121882648,2,212.1130700320636,2025-11-14,210.72458500000002,stop_loss,,-350.46091098337513,-7.011357455929856,137
AAPL,2025-08-12,228.12400499999998,21.977633726635556,2,217.57683098183716,2026-08-24,311.42,end_of_period,,1830.6488690056674,36.513472135473,377
CRM,2025-08-15,236.118,21.232004093066184,2,222.85199630654722,2025-08-20,245.57715,signal,-2.0,200.83671151692687,4.0061113511041135,5
AAL,2025-09-02,13.26663,375.2935514144145,2,12.372154593241799,2025-09-16,12.365968515945179,stop_loss,,-338.0124469731107,-6.788924422063635,14
AAL,2025-10-24,13.006499999999999,390.5151870492843,2,11.954773142544546,2026-03-03,11.948795755973274,stop_loss,,-413.04957069891844,-8.132120432297118,130
NOW,2025-10-28,189.956931,26.88728044017687,2,180.26402768375965,2025-10-30,185.253327,signal,-2.0,-126.46711982753726,-2.476142341971188,2
ORCL,2025-11-18,216.258075,22.981471186732758,2,193.30549086751938,2025-11-25,193.20883812208564,stop_loss,,-529.7053731859668,-10.658208660145686,7
CRM,2025-12-08,262.01094,19.0733766741006,2,246.66276874543271,2026-01-13,246.53943736106,stop_loss,,-295.093797546844,-5.904907115305946,36
ABNB,2025-12-11,127.62378,39.19683910633684,2,121.01638153850851,2026-02-03,120.95587334773927,stop_loss,,-261.36086422473676,-5.224658486263866,54
NOW,2025-12-16,154.97144699999998,32.240866069429366,2,144.36320799474936,2026-01-09,144.291026390752,stop_loss,,-344.3460104279376,-6.891863511636432,24
ORCL,2025-12-16,184.79234999999997,27.037989761549497,2,162.18836751489346,2026-01-29,162.107273331136,stop_loss,,-613.3588707127091,-12.275982565763123,44
NOW,2026-01-13,142.21106999999998,35.24821573432074,2,133.0658776212324,2026-01-14,132.9993446824218,stop_loss,,-324.6968812793001,-6.477502291191673,1
NOW,2026-01-23,128.714325,38.10017723146667,2,119.42493580819999,2026-01-29,118.470735,stop_loss,,-390.2825944864795,-7.958391577627433,6
CRM,2026-01-30,214.26708,22.6190308612583,2,199.74602951765755,2026-02-03,199.64615650289872,stop_loss,,-330.7111198010303,-6.823691020151712,4
NOW,2026-01-30,117.59877,41.21228219539797,2,107.019631878252,2026-02-04,106.96612206231288,stop_loss,,-438.195687292278,-9.041461860261911,5
MSFT,2026-02-04,411.175485,11.727999784788558,2,385.16312919373854,2026-02-23,384.9705476291417,stop_loss,,-307.3314998458233,-6.373176010446791,19
NOW,2026-02-05,109.31463,44.19353628655166,2,97.35735688735826,2026-04-08,97.30867820891459,stop_loss,,-530.5854661339229,-10.982932285537084,62
CRM,2026-02-10,191.99595,25.18691826124187,2,174.93169355227653,2026-02-23,174.8442277055004,stop_loss,,-431.9990274710811,-8.933377133475783,13
CRM,2026-02-24,177.72881999999998,26.660151064090503,2,160.1906140708461,2026-05-04,184.14788000000001,signal,-2.0,171.1331092894616,3.611715871404564,69
MSFT,2026-02-24,384.33207,12.328602163338983,2,362.4051521861732,2026-03-27,361.71905,stop_loss,,-278.78692729162776,-5.883719253509079,31
ABNB,2026-02-26,132.256095,36.371657645623294,2,122.54371953376955,2026-03-13,127.166385,signal,-2.0,-185.1211896355047,-3.8483746250030926,15
ABNB,2026-03-18,131.26559999999998,36.20576901028446,2,122.00336719332172,2026-03-23,130.224855,signal,-2.0,-37.68097306860803,-0.792854335027593,5
ABNB,2026-03-24,132.2661,35.71901073747654,2,123.37072850917488,2026-03-27,123.3090431449203,stop_loss,,-319.9372099827796,-6.771997401510821,3
ABNB,2026-04-09,130.875405,35.5572390169223,2,121.48649390941875,2026-08-24,191.75,end_of_period,,2164.532524473343,46.51339569875639,137
AAL,2026-05-07,13.14657,358.91705509315113,2,12.035855218587571,2026-05-19,12.029837290978278,stop_loss,,-400.81441524827335,-8.494479617282092,12
AAL,2026-05-29,14.72736,319.9966936961265,2,13.541571070473292,2026-06-03,13.534800284938056,stop_loss,,-381.6151658550165,-8.097579709207514,5
AAL,2026-06-04,13.816905,339.98829644185275,2,12.6307159741719,2026-08-24,13.66,end_of_period,,-53.34586365320893,-1.135601641612216,81
ORCL,2026-06-05,229.604745,20.395887390774554,2,204.55010167556858,2026-06-09,204.44782662473082,stop_loss,,-513.0976742808974,-10.956619548637459,4
