ticker,entry_date,entry_price,shares,entry_score,stop_price,exit_date,exit_price,exit_reason,exit_score,pnl,return_pct,holding_days
ABNB,2025-06-17,136.158045,36.72203137170485,2,128.48865037447342,2025-06-23,128.4244060492862,stop_loss,,-283.9949321655501,-5.679898643310999,6
NOW,2025-06-17,200.870385,24.891673304653644,2,192.23034047067316,2025-06-23,192.13422530043783,stop_loss,,-217.45763317878254,-4.349152663575651,6
ORCL,2025-06-17,210.76532999999998,23.723066787122914,2,197.75860380929794,2025-09-02,221.889,signal,-2.0,263.8875663279163,5.277751326558322,77
MSFT,2025-06-23,478.449105,10.40234784373948,2,463.7758160795844,2025-09-08,497.860945,signal,-2.0,201.92871196701623,4.057242410350015,77
NOW,2025-06-25,199.755828,24.964481405026277,3,191.11367579141998,2025-07-11,191.904,signal,-3.0,-196.01681410146494,-3.930712850090168,16
ABNB,2025-06-25,132.8664,37.532443519592825,2,125.70188127510926,2025-06-26,130.424755,signal,-2.0,-91.640903057396,-1.8376692677757434,1
ABNB,2025-06-27,134.056995,37.20072541360147,2,126.74646609945646,2025-07-31,134.682625,signal,-2.0,23.273889840511526,0.46668955991442385,34
AAL,2025-06-30,11.30565,442.9717801188262,2,10.461220491772822,2025-07-25,11.544225,signal,-4.0,105.68199244184935,2.1102280718048094,25
AAPL,2025-07-01,206.82335999999998,24.129240969697513,2,197.80807723011532,2025-07-31,208.38575500000002,signal,-2.0,37.69940544485146,0.7554248224185267,30
NOW,2025-07-25,200.124012,25.213063886427502,3,188.87262106532512,2025-07-28,195.1024,signal,-3.0,-126.6102241688511,-2.509250114374084,3
NOW,2025-07-29,198.405153,25.43949396775963,2,187.31016795938748,2025-08-01,187.364271,signal,-4.0,-280.87445103774616,-5.56481615172566,3
AAPL,2025-08-07,218.99944499999998,22.962795531908032,3,209.09476338605427,2026-02-13,261.819025,signal,-3.0,983.2572603021792,19.552369185227867,190
AAL,2025-08-07,11.795894999999998,426.32114622386337,2,10.942536412022426,2025-08-12,11.77411,signal,-2.0,-9.287406170485893,-0.18468289180259,5
AAL,2025-08-13,12.96648,389.02460078163307,3,12.017982638712322,2025-09-08,13.083455,signal,-2.0,45.50615267643155,0.9021338096383946,26
ORCL,2025-09-08,240.00994499999996,20.8180844493852,4,224.75132982813793,2025-11-13,224.63895416322387,stop_loss,,-319.99458531073066,-6.404314136556333,66
NOW,2025-09-09,189.09449999999998,26.40743439789694,2,178.87121223903395,2025-09-11,185.45122800000001,signal,-2.0,-96.20946633369392,-1.9266937959591446,2
NOW,2025-09-12,188.440173,26.790166145981768,2,178.691391946486,2025-09-15,185.996955,signal,-3.0,-65.45421615085257,-1.2965483745336903,3
MSFT,2025-09-15,509.044395,9.92977812542137,2,493.0920850573475,2025-11-18,492.8455390148189,stop_loss,,-160.85104581850257,-3.182208888712179,64
ABNB,2025-10-16,124.32213,40.767600452701004,3,118.25855468974825,2025-10-17,123.08842500000002,signal,-2.0,-50.29519251649893,-0.9923454496797879,1
AAL,2025-10-24,13.006499999999999,389.4338659760634,3,11.954773142544546,2026-02-13,14.082955,signal,-2.0,419.2080321992637,8.27628493445587,112
NOW,2025-10-28,189.956931,26.812630534854478,2,180.26402768375965,2025-10-30,185.253327,signal,-4.0,-126.11599623426324,-2.476142341971188,2
ORCL,2025-11-14,210.935415,23.65776231324306,2,186.96164878718227,2025-11-25,186.86816796278868,stop_loss,,-569.377209940449,-11.409770633921923,11
ABNB,2025-12-11,127.62378,39.28798888085449,2,121.01638153850851,2026-02-03,120.95587334773927,stop_loss,,-261.9686424125951,-5.224658486263866,54
ORCL,2025-12-18,182.81135999999998,27.509389655645613,2,160.88506897967855,2026-01-16,189.815045,signal,-2.0,192.66709969040085,3.831099445898767,29
MSFT,2025-12-22,486.36305999999996,10.393987123522356,2,468.4300110258698,2026-01-02,484.047855,signal,-2.0,-24.0642109583139,-0.4760240220546219,11
NOW,2026-01-13,142.21106999999998,35.507176308112385,2,133.0658776212324,2026-01-14,132.9993446824218,stop_loss,,-327.0823549531512,-6.477502291191673,1
NOW,2026-01-23,128.714325,38.64137560920815,2,119.42493580819999,2026-01-29,118.470735,signal,-2.0,-395.8264087767284,-7.958391577627433,6
MSFT,2026-02-04,411.175485,12.026850563227239,2,385.16312919373854,2026-02-23,384.9705476291417,stop_loss,,-315.1628657780412,-6.373176010446791,19
NOW,2026-02-10,105.04249499999999,47.30408558740197,2,93.29841007708676,2026-03-12,115.22236000000001,signal,-2.0,481.54920522819873,9.691187361838672,30
ORCL,2026-02-10,160.07999999999998,31.04034966138333,2,141.6876661343723,2026-02-23,141.61682230130512,stop_loss,,-573.1034916277434,-11.533719202083248,13
AAPL,2026-02-24,268.123995,18.192932137742904,2,254.85201599987175,2026-03-03,263.34826000000004,signal,-2.0,-86.88462276284253,-1.7811665830206436,7
MSFT,2026-02-24,384.33207,12.692049470489199,2,362.4051521861732,2026-03-13,400.63958,signal,-2.0,206.97572366049778,4.243078127724287,17
ABNB,2026-02-26,132.256095,37.14263984204165,4,122.54371953376955,2026-03-13,127.166385,signal,-3.0,-189.04526543043718,-3.8483746250030926,15
