ticker,entry_date,entry_price,shares,entry_score,stop_price,exit_date,exit_price,exit_reason,exit_score,pnl,return_pct,holding_days
CMG,2025-06-17,52.276125,95.6459569258433,2,49.42783269571836,2025-07-24,46.1769,stop_loss,,-583.3662116310263,-11.667324232620524,37
CBOE,2025-06-24,230.23506,21.756788663155973,2,221.41544031437974,2025-10-30,232.00394000000003,signal,-2.0,38.48514833048387,0.7682930653567732,128
ABT,2025-06-25,137.938935,36.33337864754225,2,132.9438880115377,2025-06-26,132.87741606753193,stop_loss,,-183.9020839050659,-3.669391047906856,1
TSLA,2025-06-25,342.83133,14.61881431779796,2,305.3207943578519,2025-07-01,298.31077,stop_loss,,-650.8377999643831,-12.986141027425935,6
MELI,2025-06-27,2569.2839999999997,1.9387773702401836,2,2434.804113355815,2025-07-02,2433.5867112991373,stop_loss,,-263.0868325361809,-5.281521571802195,5
CME,2025-06-30,274.34710499999994,18.1771052575672,2,264.5499600452248,2025-09-02,264.4176850652022,stop_loss,,-180.48811130140473,-3.619290947064213,64
MCO,2025-06-30,489.16445999999996,10.194600410450587,2,470.5890458546779,2025-09-19,484.73751000000004,signal,-2.0,-45.130986287043406,-0.9050023789545003,81
MSTR,2025-06-30,389.97488999999996,12.78758282281672,2,359.05468985729294,2025-08-18,358.87516251236434,stop_loss,,-397.69034101517025,-7.974802553988958,49
SPGI,2025-06-30,489.8448,10.18044124321385,2,473.81195598729823,2025-09-23,473.5750500093046,stop_loss,,-165.6332338220536,-3.321409146467491,85
ABT,2025-07-01,135.60777,36.886209136543634,2,130.46610722830403,2025-07-15,130.40087417468987,stop_loss,,-192.0626483645848,-3.8396736597837378,14
NOW,2025-07-01,205.554726,24.334427439825962,2,196.6228443561731,2025-07-10,196.524532933995,stop_loss,,-219.7445779323178,-4.393084626040167,9
PATH,2025-07-03,12.88644,386.5431203744747,2,12.038258970820452,2025-07-14,12.29385,signal,-2.0,-229.06158770270977,-4.59855475988713,11
P,2025-07-07,56.498234999999994,88.49821711482201,2,52.9396821427395,2025-08-04,55.19239,signal,-2.0,-115.56495432830394,-2.3113022911246506,28
ABNB,2025-07-08,137.56875,36.30977350126203,2,130.94185003539346,2025-08-01,129.935,stop_loss,,-277.1797334652587,-5.549043659988184,24
SE,2025-07-17,161.91091500000002,30.708756343641856,2,150.27607642771653,2025-08-05,150.20093838950268,stop_loss,,-359.5988185215078,-7.232357750864004,19
TSLA,2025-07-21,334.577205,14.886048635316937,2,307.2928436919545,2025-07-24,307.1391972701085,stop_loss,,-408.44351752336644,-8.200800090338333,3
DT,2025-07-28,54.347159999999995,90.7492880518746,2,51.70629548409618,2025-08-01,51.7741,signal,-2.0,-233.5033631147563,-4.734488425890149,4
INTU,2025-07-28,785.422515,6.279379548524041,2,759.2625611658376,2025-08-07,758.8829298852547,stop_loss,,-166.65212799584438,-3.3790201589453117,10
NOW,2025-07-29,198.405153,24.87591736563305,2,187.31016795938748,2025-08-01,187.364271,signal,-2.0,-274.65206827570563,-5.56481615172566,3
VEEV,2025-07-30,287.41363499999994,17.081911123401223,2,273.45984163510343,2025-08-07,273.3231117142859,stop_loss,,-240.6930664487824,-4.90252429593816,8
META,2025-08-01,761.010315,6.375051918455145,2,720.366886346224,2025-10-01,720.0067029030508,stop_loss,,-261.4001559622463,-5.388049450676524,61
SNOW,2025-08-01,216.478185,22.410943017675912,2,203.4519082147527,2025-08-07,203.35018226064534,stop_loss,,-294.2109213275705,-6.064353661942734,6
AFRM,2025-08-05,75.087525,64.84298589886147,2,68.27509496567257,2025-10-16,68.24095741818974,stop_loss,,-443.95188516292495,-9.11811593445151,72
MSFT,2025-08-05,537.50862,9.058272078976907,2,517.9170322733194,2025-08-07,517.6580737571827,stop_loss,,-179.8116487837514,-3.6930656559177155,2
NET,2025-08-05,209.1045,23.284526754591163,2,193.52921886408265,2025-08-14,193.43245425465062,stop_loss,,-364.91616845676424,-7.49483906149766,9
TSLA,2025-08-11,335.19751499999995,14.35227675745344,2,308.84987354526334,2026-03-27,369.61510000000004,signal,-2.0,493.9707052431794,10.267852075216034,228
P,2025-08-13,59.86992,80.76531136270275,2,56.05283392771278,2025-08-20,56.02480751074893,stop_loss,,-310.55170741897984,-6.422444675474881,7
SE,2025-08-13,175.94793,27.482066598112887,2,161.352236386001,2025-10-17,161.271560267808,stop_loss,,-403.33697039862875,-8.34131423551957,65
SHOP,2025-08-13,150.285105,32.174929977658834,2,138.43302035256102,2025-08-20,137.521205,stop_loss,,-410.6775887418389,-8.493123786286061,7
ARKG,2025-08-15,25.202595,189.40778287959475,2,23.537315211064925,2025-08-20,23.525546553459392,stop_loss,,-317.6460280409248,-6.654268921674955,5
AMZN,2025-08-18,230.43515999999997,20.658165322429962,2,220.47863630922396,2025-09-23,220.36839699106935,stop_loss,,-207.96085450021127,-4.368588113433136,36
MELI,2025-08-18,2417.578185,1.969064603956376,2,2278.555618030718,2025-09-09,2347.035895,signal,-2.0,-138.90232632102555,-2.9178907403153875,22
NFLX,2025-08-18,123.6247815,38.50658074878457,2,118.18507697295546,2025-09-15,118.12598443446899,stop_loss,,-211.7398732250494,-4.447973131933103,28
SOFI,2025-08-19,24.622304999999997,192.64737709958968,2,22.172867389430884,2025-08-20,22.16178095573617,stop_loss,,-474.01350341790106,-9.993069472024763,1
ABT,2025-08-21,132.18606,35.19251697108828,2,126.99655994077996,2025-10-15,126.93306166080957,stop_loss,,-184.86623320105764,-3.9739427434257624,55
ARKG,2025-08-25,25.27263,186.14603304503612,2,23.57505970977894,2026-08-24,47.83,end_of_period,,4198.964941429106,89.25612411529784,364
VEEV,2025-08-25,291.30558,16.149363905473322,2,278.0146089326907,2025-08-28,277.8756016282244,stop_loss,,-216.88560796844078,-4.610271582087655,3
SOFI,2025-08-26,26.213099999999997,179.20419967999774,2,23.58099306773026,2025-11-21,23.5692025711964,stop_loss,,-473.79752276475256,-10.086168476081037,87
P,2025-08-28,69.75486,66.94362206289327,2,63.39045628358444,2026-02-24,68.57569500000001,signal,-2.0,-78.93757610979043,-1.6904413541937946,180
NET,2025-08-29,212.58623999999998,22.36129882921699,2,197.29150184182,2025-11-18,187.38626,stop_loss,,-563.5042832702912,-11.854003344713181,81
ZS,2025-08-29,283.08146999999997,16.792707907089934,2,267.7603880921435,2025-09-03,267.62650789809743,stop_loss,,-259.530664292394,-5.459545657263454,5
BABA,2025-09-02,134.53723499999998,34.52938901540721,2,125.64123627555534,2026-02-13,152.78357000000003,signal,-2.0,630.0347993204417,13.562293739721976,164
SNOW,2025-09-05,224.03195999999997,21.195281999504605,2,205.24030849654335,2026-01-14,205.1376883422951,stop_loss,,-400.46941596030223,-8.433739390444506,131
ZS,2025-09-09,281.490675,16.888391460663062,2,265.34243210129034,2025-11-26,265.2097608852397,stop_loss,,-274.9584509075069,-5.783820055410471,78
VEEV,2025-09-12,277.51869,17.303859908417497,2,262.38470118107415,2025-11-21,249.62512500000003,stop_loss,,-482.6663411063369,-10.051058182784,70
ORCL,2025-09-15,306.60322499999995,15.827604225015039,2,275.67637736395886,2025-10-07,275.5385391752769,stop_loss,,-491.67955260815097,-10.131884889574472,22
MSFT,2025-09-16,517.13844,9.43387224902814,2,501.09272362467976,2025-11-06,500.84217726286744,stop_loss,,-153.73686079870572,-3.151237942616003,51
NVDA,2025-09-16,177.08849999999998,3.0509844406619817,2,167.692376350536,2026-01-21,178.96047500000003,signal,-2.0,5.711366598308362,1.0570844521242462,127
WDAY,2025-09-19,236.24806499999997,20.73441010587763,2,222.09629137316423,2025-10-08,233.78305000000003,signal,-2.0,-51.11063192713864,-1.0434011385447528,19
AMZN,2025-10-10,226.223055,21.922970590342544,2,215.48259446712868,2025-10-14,215.44222500000004,signal,-2.0,-236.34781902948154,-4.76557528586109,4
