ticker,contract_id,position,market_price,market_value,average_price,unrealized_pnl
SOFI,494162724,320.821,18.7350006,6010.58162749,15.59001593,1008.97712749
SOLS,822454680,4,55.9599991,223.8399964,48.933425,28.1062964
SPCX,890493863,43.9211,137.52000425,6040.02985866,113.86319104,1039.03325866
SPGI,229629397,12.3117,433.6567993,5339.05241594,386.53856088,580.10561594
TEAM,589316251,58.2613,171.30999755,9980.74316026,85.83734657,4979.74776026
TSLA,76792991,22.5747,357.7799988,8076.77613891,443.05923002,-1925.15306109
TTD,248755440,241.4874,13.3500004,3223.85688659,20.71001303,-1777.35031341
UBER,365207014,59.0185,78.73999785,4647.11656311,84.73604209,-353.87753689
VEEV,136254493,63.8964,247.80000305,15833.52811488,187.85064104,3830.54841488
VST,254457731,31.5858,136.43499755,4309.40854561,158.33020535,-691.57765439
WDAY,115324104,79.695,200.60499575,15987.2151363,150.61153774,3984.2286363
ZS,310621426,63.2828,177.0549927,11204.53569204,158.03643012,1203.54789204
