date,open,high,low,close,volume
2024-08-26,263.940000,267.300000,263.240000,265.280000,2047724.000000
2024-08-27,259.650000,264.460000,259.400000,264.200000,3003097.000000
2024-08-28,261.830000,265.180000,257.360000,258.900000,5999221.000000
2024-08-29,271.010000,271.950000,256.280000,257.010000,10251957.000000
2024-08-30,257.440000,259.130000,251.000000,252.900000,5130667.000000
2024-09-03,252.620000,253.690000,246.640000,248.060000,3292030.000000
2024-09-04,246.470000,249.480000,245.160000,247.680000,2246296.000000
2024-09-05,245.980000,248.500000,245.000000,246.120000,2025734.000000
2024-09-06,247.740000,250.000000,241.440000,243.970000,3067369.000000
2024-09-09,246.500000,249.360000,244.770000,245.760000,2332718.000000
2024-09-10,247.130000,247.340000,243.310000,246.160000,1731281.000000
2024-09-11,244.810000,250.020000,242.010000,249.570000,2664031.000000
2024-09-12,251.390000,254.140000,249.570000,253.370000,2373519.000000
2024-09-13,252.540000,256.830000,252.440000,254.570000,2635708.000000
2024-09-16,254.570000,257.810000,254.570000,256.910000,2615623.000000
2024-09-17,258.720000,259.370000,254.760000,255.190000,2850987.000000
2024-09-18,256.000000,256.120000,250.960000,252.430000,2581437.000000
2024-09-19,260.720000,269.540000,258.050000,265.990000,6961620.000000
2024-09-20,266.010000,270.320000,261.320000,266.800000,4670071.000000
2024-09-23,267.250000,268.060000,262.240000,264.210000,3385152.000000
2024-09-24,269.830000,272.460000,266.290000,270.440000,4188260.000000
2024-09-25,270.450000,277.050000,269.380000,274.090000,4931716.000000
2024-09-26,276.130000,278.640000,272.710000,275.760000,3089511.000000
2024-09-27,276.260000,277.840000,275.060000,276.640000,2410277.000000
2024-09-30,273.950000,275.740000,269.140000,273.710000,2605793.000000
2024-10-01,274.330000,274.700000,269.690000,270.870000,1940783.000000
2024-10-02,273.720000,282.000000,270.850000,279.480000,3832712.000000
2024-10-03,278.990000,281.120000,277.730000,280.910000,1843359.000000
2024-10-04,283.860000,287.890000,281.470000,287.750000,3518975.000000
2024-10-07,286.580000,288.170000,283.380000,284.570000,2723040.000000
2024-10-08,286.000000,292.630000,284.100000,291.570000,2938239.000000
2024-10-09,290.820000,291.570000,287.080000,287.920000,2581848.000000
2024-10-10,287.920000,290.230000,284.620000,290.170000,1979244.000000
2024-10-11,289.210000,290.240000,286.300000,288.100000,1668609.000000
2024-10-14,289.920000,292.450000,288.250000,291.640000,1747200.000000
2024-10-15,293.460000,293.580000,288.000000,288.350000,1907059.000000
2024-10-16,287.550000,290.920000,284.230000,290.860000,1598978.000000
2024-10-17,291.960000,293.340000,290.100000,291.110000,1467640.000000
2024-10-18,292.040000,294.710000,290.150000,292.940000,1551549.000000
2024-10-21,289.000000,292.920000,288.040000,291.290000,1241475.000000
2024-10-22,289.750000,291.950000,287.650000,288.330000,1364361.000000
2024-10-23,287.730000,288.310000,282.610000,284.430000,1721479.000000
2024-10-24,286.560000,288.910000,285.180000,286.760000,1522296.000000
2024-10-25,290.000000,294.380000,288.830000,290.460000,1948153.000000
2024-10-28,293.600000,296.070000,292.490000,293.770000,2008997.000000
2024-10-29,294.000000,300.600000,292.810000,298.890000,2454435.000000
2024-10-30,297.070000,299.540000,296.350000,296.400000,1426764.000000
2024-10-31,292.600000,296.090000,289.550000,291.370000,1922192.000000
2024-11-01,290.230000,296.990000,290.000000,294.720000,1802310.000000
2024-11-04,297.990000,300.180000,292.920000,298.010000,2132912.000000
2024-11-05,297.440000,298.810000,294.740000,297.490000,1701173.000000
2024-11-06,305.000000,308.560000,303.070000,306.900000,3162117.000000
2024-11-07,307.500000,312.190000,306.000000,310.780000,2596883.000000
2024-11-08,310.030000,322.810000,309.430000,321.950000,5549730.000000
