date,open,high,low,close,volume
2024-08-26,12.820000,13.400000,12.600000,12.730000,160589.000000
2024-08-27,12.720000,13.250000,12.650000,13.020000,92878.000000
2024-08-28,13.050000,13.100000,11.860000,12.470000,185829.000000
2024-08-29,12.290000,12.900000,12.290000,12.530000,104714.000000
2024-08-30,12.680000,13.150000,12.600000,13.030000,111634.000000
2024-09-03,12.590000,12.850000,11.520000,11.520000,233988.000000
2024-09-04,11.290000,11.970000,11.250000,11.510000,64048.000000
2024-09-05,11.100000,11.430000,10.600000,10.980000,131283.000000
2024-09-06,10.980000,11.580000,10.120000,10.260000,180727.000000
2024-09-09,10.670000,11.030000,10.520000,10.800000,75349.000000
2024-09-10,11.050000,11.470000,11.030000,11.310000,73962.000000
2024-09-11,11.340000,11.800000,10.910000,11.690000,93628.000000
2024-09-12,11.800000,11.950000,11.590000,11.650000,95721.000000
2024-09-13,12.000000,12.000000,11.580000,11.820000,69336.000000
2024-09-16,11.870000,11.920000,11.270000,11.410000,84357.000000
2024-09-17,11.500000,11.850000,11.330000,11.530000,112404.000000
2024-09-18,11.450000,11.960000,11.380000,11.820000,80037.000000
2024-09-19,12.250000,12.270000,11.630000,11.730000,88189.000000
2024-09-20,11.910000,11.950000,11.100000,11.100000,87174.000000
2024-09-23,11.200000,11.350000,10.760000,10.880000,111914.000000
2024-09-24,10.840000,10.900000,10.390000,10.480000,258815.000000
2024-09-25,10.550000,10.690000,10.200000,10.300000,125400.000000
2024-09-26,10.540000,10.690000,10.260000,10.340000,159246.000000
2024-09-27,10.340000,10.620000,10.060000,10.200000,206715.000000
2024-09-30,10.100000,10.200000,9.860000,9.950000,217398.000000
2024-10-01,9.980000,10.000000,9.630000,9.880000,187789.000000
2024-10-02,9.820000,10.180000,9.750000,9.980000,177100.000000
2024-10-03,10.100000,10.880000,10.100000,10.260000,274821.000000
2024-10-04,10.560000,10.740000,9.910000,10.110000,265474.000000
2024-10-07,10.010000,10.060000,9.750000,9.950000,143575.000000
2024-10-08,9.930000,10.050000,9.810000,9.900000,113399.000000
2024-10-09,10.000000,10.240000,9.850000,9.940000,119640.000000
2024-10-10,10.000000,10.050000,9.860000,9.930000,79298.000000
2024-10-11,10.000000,10.030000,9.860000,9.980000,131381.000000
2024-10-14,11.460000,13.430000,10.800000,12.080000,1780812.000000
2024-10-15,12.650000,13.500000,11.150000,11.960000,1123295.000000
